Fecha,Clics,Impresiones,CTR,Posición
2026-03-23,0,1,0%,11
2026-03-24,0,6,0%,1.5
2026-03-25,3,6,50%,2.8
2026-03-26,0,3,0%,10
2026-03-27,0,2,0%,7
2026-03-28,0,3,0%,1
2026-03-29,0,2,0%,21.5
2026-03-30,0,0,,
2026-03-31,1,2,50%,4.5
2026-04-01,0,3,0%,7
2026-04-02,0,1,0%,10
2026-04-03,0,2,0%,19
2026-04-04,0,1,0%,12
2026-04-05,0,0,,
2026-04-06,0,2,0%,10
2026-04-07,3,12,25%,3.2
2026-04-08,7,37,18.92%,3.5
2026-04-09,8,49,16.33%,8
2026-04-10,3,43,6.98%,9
2026-04-11,0,5,0%,37
2026-04-12,10,37,27.03%,7.4
2026-04-13,1,30,3.33%,13.6
2026-04-14,6,26,23.08%,9.7
2026-04-15,6,44,13.64%,8.6
2026-04-16,5,38,13.16%,12.4
2026-04-17,0,14,0%,41.3
2026-04-18,1,15,6.67%,35.3
2026-04-19,0,24,0%,24.8
2026-04-20,2,20,10%,21.4
2026-04-21,0,36,0%,14.1
2026-04-22,0,34,0%,18.9
2026-04-23,0,22,0%,18.3
2026-04-24,2,42,4.76%,11.3
2026-04-25,0,36,0%,9.9
2026-04-26,2,40,5%,8.5
2026-04-27,1,13,7.69%,17.5
2026-04-28,0,24,0%,15.1
2026-04-29,1,23,4.35%,17.6
2026-04-30,0,15,0%,20.9
2026-05-01,0,16,0%,12.9
2026-05-02,0,26,0%,12.3
2026-05-03,1,25,4%,12.4
2026-05-04,1,20,5%,13.9
2026-05-05,0,29,0%,8.2
2026-05-06,2,15,13.33%,7.9
2026-05-07,2,21,9.52%,13.1
2026-05-08,0,12,0%,20.4
2026-05-09,0,12,0%,16
2026-05-10,1,19,5.26%,10.6
2026-05-11,0,13,0%,19.8
2026-05-12,1,11,9.09%,12.7
2026-05-13,0,10,0%,4.5
2026-05-14,1,23,4.35%,5.7
2026-05-15,1,13,7.69%,6